word,count
and,6820
the,5766
to,4590
a,3960
in,3770
his,2685
with,2133
of,2003
as,1590
for,1347
he,1205
at,1051
games,1048
on,1030
is,937
has,855
good,762
played,676
but,667
not,587
was,565
be,560
an,549
2013,523
ball,518
all,489
team,471
speed,467
up,467
tackles,457
can,454
yards,438
after,436
started,435
will,414
him,411
season,405
off,400
2012,399
nfl,382
from,376
out,375
size,374
13,373
12,364
hands,361
2011,359
game,350
very,345
body,340
more,340
run,335
ability,332
needs,332
career,329
or,327
well,323
could,316
by,308
when,302
who,301
plays,298
that,298
play,294
strength,293
school,286
lacks,275
too,274
two,272
2010,271
some,271
than,261
first,260
does,258
defensive,256
one,248
get,243
over,243
high,242
frame,232
average,231
three,231
strong,228
back,227
starting,227
line,226
pass,225
coverage,224
make,221
receiver,221
into,219
player,218
against,212
starts,212
field,210
big,208
senior,208
through,208
burst,202
down,202
while,199
pick,197
have,193
state,190
athletic,189
power,189
first-team,187
year,186
football,185
teams,185
better,183
defenders,183
quickness,182
playing,181
11,180
level,180
shows,180
blocks,176
position,175
most,174
it,171
physical,169
touchdowns,169
long,168
second,168
1,167
running,167
had,166
tackle,164
sacks,163
seasons,161
14,159
quick,159
arms,158
selection,158
catch,156
time,156
led,154
starter,154
length,153
also,152
balance,152
quickly,151
linebacker,150
production,150
10,147
experience,147
much,147
contact,146
feet,146
before,144
four,144
like,144
this,144
passes,143
quarterback,143
end,142
injury,141
skills,141
freshman,140
just,140
natural,140
often,140
best,139
ideal,139
loss,139
college,138
due,138
receivers,137
control,136
junior,136
athlete,135
tackler,134
gets,133
vs,133
including,132
no,132
only,130
possesses,130
athleticism,129
blocker,129
catches,129
all-american,128
outside,128
safety,128
rushing,127
limited,124
job,123
looks,123
special,123
tough,122
awareness,121
receiving,121
draft,120
rang,119
left,118
made,118
rob,118
tight,117
instincts,116
traits,116
which,116
improve,115
point,115
second-team,115
showing,115
agility,114
work,114
enough,112
return,112
top,112
hips,111
blockers,110
man,110
redshirted,110
explosive,109
inside,109
role,109
potential,108
bowl,107
snap,107
times,107
2009,106
short,106
struggles,106
scrimmage,105
impressive,104
overall,104
are,103
himself,103
did,102
last,102
vision,102
2,101
routes,101
rush,101
making,100
easily,99
receptions,99
excellent,98
missed,98
all-big,96
elite,96
he's,96
offensive,96
still,96
cornerback,95
defender,95
right,95
runner,95
start,95
do,94
throws,94
five,93
runs,92
nice,91
use,91
zone,91
interceptions,90
six,90
technique,90
attack,89
nine,89
productive,89
shoulder,89
where,89
route,88
around,87
doesn't,87
edge,87
fluid,87
set,87
away,86
brugler,86
build,86
consistently,86
flashes,86
knee,86
moves,86
weight,86
dane,85
eyes,85
ground,85
initial,85
leading,85
part,85
durability,84
if,84
inconsistent,84
room,84
toughness,84
finished,83
highly,83
scouts,83
outstanding,82
seven,82
TRUE,82
despite,81
eight,81
hard,81
honors,80
move,80
past,80
space,80
would,80
competitive,79
honorable,79
many,79
mention,79
middle,79
record,79
slot,79
acceleration,78
both,78
hand,77
aggressive,76
create,76
i,76
scheme,76
during,75
earning,75
effective,75
finishing,75
take,75
been,74
every,74
prospect,74
develop,73
press,73
two-time,73
next,72
rusher,72
all-acc,71
guard,71
lateral,71
stand,71
t,71
wide,71
carries,70
corner,70
forced,70
sophomore,70
history,69
solid,69
break,68
bulk,68
competition,68
consistent,68
award,67
florida,67
head,67
lower,67
offense,67
physicality,67
versatile,67
free,66
should,66
early,65
earn,65
however,65
possess,65
recruit,65
stay,65
character,64
makes,64
protection,64
step,64
stronger,64
years,64
action,63
coach,63
lean,63
track,63
behind,62
final,62
21305,
uses,62
easy,61
3,60
arm,60
asked,60
bend,60
bigger,60
bit,60
handle,60
keep,60
late,60
low,60
raw,60
breaks,59
foot,59
leverage,59
returner,59
soft,59
win,59
defense,58
light,58
movement,58
straight-line,58
target,58
ten,58
following,57
them,57
able,56
all-sec,56
earned,56
footwork,56
isn't,56
since,56
support,56
built,55
effort,55
passing,55
pro,55
pursuit,55
range,55
separation,55
takes,55
versatility,55
being,54
caught,54
fast,54
per,54
way,54
always,53
cover,53
drop,53
injuries,53
look,53
reliable,53
small,53
downfield,52
height,52
pocket,52
rather,52
captain,51
front,51
fumbles,51
showed,51
smooth,51
touchdown,51
anticipation,50
come,50
especially,50
flexibility,50
given,50
lead,50
legs,50
smart,50
backs,49
coaches,49
downhill,49
drops,49
durable,49
former,49
lot,49
misc,49
surgery,49
tends,49
terrific,49
their,49
what,49
40240,48
become,48
combination,48
coordination,48
even,48
go,48
interception,48
lack,48
offers,48
once,48
though,48
type,48
2014,47
alabama,47
angles,47
carolina,47
close,47
closing,47
coming,47
each,47
named,47
powerful,47
returned,47
round,47
active,46
all-pac-12,46
ankle,46
backfield,46
beat,46
new,46
shoulders,46
special-teams,46
talent,46
top-end,46
2012-13,45
air,45
catching,45
finish,45
functional,45
how,45
impact,45
improved,45
throughout,45
traffic,45
turn,45
4,44
gives,44
hold,44
kick,44
lsu,44
pounds,44
see,44
show,44
third,44
value,44
area,43
ballcarrier,43
conference,43
drive,43
fluidity,43
prove,43
style,43
west,43
anchor,42
blocking,42
deep,42
few,42
gain,42
need,42
patience,42
side,42
south,42
40270,41
change,41
developing,41
fbs,41
helped,41
numbers,41
pass-rush,41
rushers,41
tall,41
there,41
upside,41
any,40
intriguing,40
little,40
open,40
punt,40
so,40
struggled,40
three-year,40
leader,39
marginal,39
miss,39
my,39
rookie,39
scores,39
sec,39
under,39
undersized,39
broad,38
core,38
hits,38
multiple,38
playmaking,38
pros,38
separate,38
spot,38
threat,38
tracks,38
vertically,38
another,37
capable,37
concerns,37
cut,37
day,37
double,37
find,37
full,37
hip,37
might,37
moved,37
opponents,37
saw,37
thomas,37
tied,37
works,37
all-purpose,36
championship,36
getting,36
keeps,36
recognition,36
sack,36
suspended,36
texas,36
timing,36
willing,36
5,35
about,35
balanced,35
confident,35
ends,35
fcs,35
gaps,35
interior,35
leaving,35
must,35
nation,35
nation's,35
projects,35
recorded,35
shed,35
similar,35
suffered,35
won,35
working,35
acl,34
adjust,34
attitude,34
base,34
basketball,34
became,34
feel,34
fumble,34
hole,34
jam,34
leaping,34
leaves,34
lineman,34
transition,34
yardage,34
you,34
center,33
controlled,33
force,33
never,33
occasionally,33
own,33
short-area,33
suited,33
taking,33
thick,33
torn,33
total,33
accelerates,32
along,32
extend,32
great,32
hand-eye,32
match,32
miami,32
missing,32
national,32
notre,32
open-field,32
practice,32
redshirt,32
struggle,32
tackling,32
teammates,32
tools,32
tweener,32
clear,31
comes,31
consecutive,31
cuts,31
he'll,31
lacking,31
physically,31
pop,31
require,31
spring,31
td,31
vertical,31
wrap,31
all-conference,30
among,30
appears,30
blocked,30
chance,30
developmental,30
father,30
fit,30
focus,30
instead,30
learn,30
looking,30
other,30
said,30
san,30
smith,30
surprising,30
15,29
adequate,29
advantage,29
because,29
compete,29
development,29
experienced,29
healthy,29
heavy,29
hit,29
jump,29
laterally,29
likely,29
motor,29
moving,29
nose,29
oregon,29
pull,29
records,29
relatively,29
several,29
skill,29
surprisingly,29
talented,29
teammate,29
upright,29
used,29
alert,28
backup,28
carry,28
dame,28
decision,28
didn't,28
ethic,28
fight,28
flexible,28
forward,28
going,28
issues,28
jones,28
lanes,28
large,28
limitations,28
pads,28
performance,28
pluck,28
rare,28
recording,28
same,28
struggling,28
they,28
third-team,28
using,28
would-be,28
8,27
ap,27
avoid,27
broken,27
certainly,27
compact,27
contested,27
direction,27
directions,27
displays,27
face,27
four-year,27
issue,27
nickel,27
steps,27
whose,27
won't,27
boasts,26
campaign,26
considering,26
elusiveness,26
extra,26
lining,26
muscle,26
north,26
personal,26
quarterbacks,26
recovery,26
relies,26
rip,26
rules,26
single-season,26
strides,26
success,26
tacklers,26
turned,26
were,26
yet,26
auburn,25
demonstrating,25
doesn,25
expected,25
explosion,25
georgia,25
half,25
help,25
ints,25
locate,25
loose,25
penn,25
pressure,25
radius,25
scored,25
setting,25
sideline,25
signed,25
situations,25
stance,25
star,25
stays,25
stout,25
tds,25
without,25
26,24
7,24
9,24
allow,24
allowing,24
attempts,24
attention,24
averaged,24
bloodlines,24
class,24
continue,24
defended,24
east,24
either,24
emerged,24
extremely,24
family,24
instinctive,24
linemen,24
me,24
momentum,24
prep,24
project,24
punch,24
reach,24
richardson,24
stride,24
sudden,24
throw,24
30,23
block,23
combine,23
committed,23
country,23
defenses,23
difficult,23
division,23
drafted,23
enter,23
explosiveness,23
int,23
nearly,23
put,23
questionable,23
red,23
s,23
single,23
slip,23
smaller,23
stop,23
sustain,23
took,23
well-built,23
25,22
allows,22
bad,22
between,22
box,22
collegiate,22
dominate,22
duties,22
fits,22
immediate,22
intensity,22
