word,count
and,2108
the,1899
to,1416
a,1316
in,1114
his,881
of,644
with,637
as,458
at,423
for,410
he,380
games,366
on,354
is,304
good,259
has,259
but,221
played,214
all,201
not,195
an,189
was,179
started,169
2013,166
can,156
nfl,154
yards,150
after,147
off,147
be,146
ball,145
will,143
career,139
up,137
game,136
strength,134
13,129
2012,124
from,122
season,120
out,117
very,117
tackle,112
could,111
him,109
who,109
by,108
2011,106
when,104
school,102
team,102
that,97
arm,96
speed,96
play,95
well,95
average,92
more,90
or,90
starting,89
body,87
hands,87
senior,87
size,87
2010,86
defenders,86
football,86
left,86
12,85
high,84
level,83
line,82
tight,82
field,81
plays,81
against,80
blocker,80
starter,80
does,79
than,79
needs,78
two,78
most,76
second,76
first,75
get,74
guard,74
ability,73
end,73
tackles,73
too,73
pick,71
strong,71
into,70
state,69
14,68
2009,68
lacks,68
make,68
run,68
defensive,67
throws,67
tough,66
one,65
some,65
athletic,62
better,62
offensive,62
passing,62
player,62
pocket,62
quick,62
while,62
passes,61
frame,60
quickness,60
right,60
first-team,59
selection,59
only,57
starts,57
job,56
move,56
offense,56
feet,55
four,55
over,55
have,54
also,53
athleticism,53
pass,53
down,52
playing,52
year,52
athlete,51
enough,51
injury,51
it,51
quarterback,51
just,50
1,49
are,49
back,49
big,49
three,49
time,49
touchdowns,49
accuracy,48
center,48
control,48
ideal,48
bowl,47
college,47
competitive,47
honorable,47
mention,47
position,47
work,47
10,46
3,46
all-big,46
foot,46
inside,46
record,46
through,46
seasons,45
improve,44
like,44
physical,44
possesses,44
power,44
teams,44
vs,44
blocks,43
elite,43
length,43
balance,42
much,42
production,42
redshirted,42
second-team,42
set,42
top,42
best,41
due,40
made,40
no,40
outstanding,40
shows,40
ten,40
under,40
where,40
linebacker,39
showing,39
experience,38
many,38
overall,38
sacks,38
smart,38
times,38
11,37
coverage,37
limited,37
short,37
snap,37
struggles,37
draft,36
gets,36
himself,36
history,36
led,36
long,36
quickly,36
arms,35
award,35
did,35
freshman,35
outside,35
pressure,35
which,35
durable,34
leader,34
missed,34
agility,33
drive,33
initial,33
knee,33
leg,33
placement,33
rang,33
rob,33
versatile,33
before,32
highly,32
two-time,32
works,32
2,31
all-american,31
contact,31
five,31
had,31
point,31
throwing,31
toughness,31
catch,30
competition,30
consistently,30
often,30
base,29
character,29
eyes,29
if,29
natural,29
prospect,29
six,29
attack,28
coach,28
every,28
finished,28
handle,28
including,28
junior,28
nine,28
protection,28
solid,28
despite,27
doesn't,27
ends,27
ground,27
he's,27
past,27
take,27
years,27
awareness,26
deep,26
do,26
excellent,26
may,26
release,26
small,26
target,26
traits,26
all-conference,25
blocking,25
captain,25
catches,25
create,25
downfield,25
eight,25
final,25
honors,25
lateral,25
looks,25
next,25
potential,25
pro,25
rush,25
rushers,25
scouts,25
space,25
this,25
earn,24
edge,24
effective,24
experienced,24
isn't,24
named,24
talent,24
way,24
brugler,23
build,23
conference,23
dane,23
height,23
hips,23
inconsistent,23
intangibles,23
late,23
lower,23
possess,23
receiver,23
seven,23
tends,23
understands,23
action,22
always,22
backup,22
been,22
bend,22
bit,22
both,22
cut,22
footwork,22
functional,22
hand,22
improved,22
instincts,22
passer,22
room,22
shoulder,22
stand,22
technique,22
their,22
them,22
throw,22
timing,22
50,21
anchor,21
bulk,21
consistent,21
during,21
former,21
lot,21
movement,21
moving,21
punch,21
running,21
scrimmage,21
still,21
TRUE,21
acl,20
blockers,20
earning,20
even,20
given,20
hard,20
impressive,20
intelligence,20
loss,20
part,20
powerful,20
receiving,20
use,20
uses,20
develop,19
early,19
earned,19
effort,19
four-year,19
front,19
head,19
lineman,19
little,19
mobility,19
new,19
punts,19
quarterbacks,19
records,19
reliable,19
role,19
seal,19
since,19
sophomore,19
start,19
takes,19
able,18
all-sec,18
day,18
easily,18
extremely,18
keep,18
leadership,18
limitations,18
murray,18
per,18
productive,18
receivers,18
sec,18
see,18
special,18
tall,18
targets,18
vision,18
around,17
burst,17
defender,17
explosive,17
fcs,17
finish,17
finishing,17
flexibility,17
following,17
i,17
injuries,17
last,17
makes,17
misc,17
multiple,17
nice,17
once,17
range,17
route,17
skills,17
tds,17
terrific,17
torn,17
versatility,17
west,17
4,16
5,16
adjust,16
all-acc,16
all-pac-12,16
anticipation,16
being,16
block,16
brother,16
clean,16
competitor,16
core,16
delivery,16
especially,16
ethic,16
finalist,16
flashes,16
florida,16
instinctive,16
keeping,16
keeps,16
lack,16
league,16
leverage,16
light,16
making,16
marginal,16
rather,16
require,16
routes,16
rushing,16
should,16
slide,16
straight-line,16
suffered,16
though,16
three-year,16
velocity,16
weight,16
wide,16
about,15
angles,15
balanced,15
capable,15
concerns,15
defense,15
developmental,15
easy,15
forced,15
great,15
how,15
intelligent,15
legs,15
low,15
manziel,15
middle,15
never,15
onto,15
percent,15
percentage,15
pounds,15
reads,15
round,15
separation,15
short-to-intermediate,15
shoulders,15
soft,15
stronger,15
teammates,15
texas,15
third,15
touch,15
type,15
win,15
would,15
15,14
6,14
alabama,14
carolina,14
confident,14
consecutive,14
craft,14
each,14
feel,14
half,14
however,14
interceptions,14
intriguing,14
linebackers,14
look,14
man,14
motion,14
murphy,14
ohio,14
points,14
pop,14
pros,14
punt,14
recruit,14
relatively,14
respected,14
several,14
single-season,14
spot,14
step,14
surgery,14
touchdown,14
went,14
were,14
what,14
whose,14
won't,14
2012-13,13
above,13
alert,13
away,13
broken,13
built,13
caught,13
certainly,13
change,13
coaches,13
combine,13
durability,13
efficient,13
face,13
fbs,13
fit,13
improvement,13
in-line,13
interior,13
lead,13
might,13
mirror,13
must,13
national,13
notre,13
opponents,13
pro-style,13
punter,13
punting,13
receptions,13
served,13
show,13
stance,13
stay,13
struggling,13
success,13
suited,13
sustain,13
tackler,13
tools,13
total,13
trophy,13
usa,13
value,13
yet,13
26,12
40,12
adequate,12
ap,12
attempts,12
backs,12
became,12
become,12
coming,12
dame,12
deliver,12
displays,12
exceptional,12
extra,12
father,12
full,12
matthews,12
my,12
ncaa,12
need,12
open,12
opponent,12
positioning,12
program,12
prospects,12
redshirting,12
reserve,12
san,12
semifinalist,12
showed,12
shown,12
snaps,12
spring,12
stout,12
surprisingly,12
t,12
temperament,12
vocal,12
zone,12
19,11
20,11
36,11
49,11
51,11
9,11
among,11
asked,11
bad,11
behind,11
bull,11
catching,11
collegiate,11
come,11
comes,11
fumbles,11
generate,11
getting,11
give,11
gives,11
go,11
goals,11
hardworking,11
heisman,11
hip,11
hold,11
lanes,11
leaves,11
leaving,11
linemen,11
missing,11
moves,11
muscle,11
mvp,11
nation's,11
offers,11
reach,11
rise,11
runner,11
saw,11
shotgun,11
side,11
similar,11
slow,11
special-teams,11
throughout,11
top-end,11
traditional,11
turn,11
upper,11
waist,11
weight-room,11
willing,11
won,11
working,11
2008,10
41702,10
any,10
attention,10
avoid,10
bends,10
breaks,10
broad,10
broke,10
calls,10
cannot,10
carr,10
championship,10
chance,10
community,10
country,10
dependable,10
division,10
fair,10
find,10
focus,10
guy,10
holds,10
ivy,10
kicker,10
kickoffs,10
knees,10
michigan,10
niklas,10
projects,10
relies,10
remain,10
renner,10
returned,10
scheme,10
separate,10
so,10
straight,10
surprising,10
transferred,10
24,9
again,9
along,9
appears,9
attitude,9
balls,9
because,9
bigger,9
biggest,9
bortles,9
break,9
completion,9
completions,9
continue,9
david,9
derek,9
development,9
drafted,9
drops,9
duties,9
east-west,9
emerged,9
