row_idx	row_name	col_idx	col_name	diff	away	home	initial_chances	if_home	if_away	sig
1	CHI @ CAR	1	BUF	0.002	CHI	CAR	0.258	0.259	0.257	0
2	HOU @ DAL	1	BUF	0.01	HOU	DAL	0.258	0.254	0.265	0
3	ARZ @ DEN	1	BUF	0.006	ARZ	DEN	0.258	0.257	0.263	0
4	BUF @ DET	1	BUF	0.149	BUF	DET	0.258	0.218	0.367	1
5	MIN @ GB	1	BUF	0.01	MIN	GB	0.258	0.26	0.25	0
6	BAL @ IND	1	BUF	0.006	BAL	IND	0.258	0.26	0.255	0
7	PIT @ JAC	1	BUF	0.021	PIT	JAC	0.258	0.273	0.252	0
8	CIN @ NE	1	BUF	0.062	CIN	NE	0.258	0.234	0.295	1
9	TB @ NO	1	BUF	0.006	TB	NO	0.258	0.259	0.253	0
10	ATL @ NYG	1	BUF	0.006	ATL	NYG	0.258	0.256	0.262	0
11	STL @ PHI	1	BUF	0.005	STL	PHI	0.258	0.257	0.262	0
12	NYJ @ SD	1	BUF	0.014	NYJ	SD	0.258	0.262	0.248	0
13	KC @ SF	1	BUF	0.004	KC	SF	0.258	0.257	0.261	0
14	CLE @ TEN	1	BUF	0.003	CLE	TEN	0.258	0.257	0.26	0
15	SEA @ WAS	1	BUF	0.011	SEA	WAS	0.258	0.25	0.261	0
1	CHI @ CAR	2	NE	0.003	CHI	CAR	0.572	0.574	0.571	0
2	HOU @ DAL	2	NE	0.011	HOU	DAL	0.572	0.577	0.565	0
3	ARZ @ DEN	2	NE	0.008	ARZ	DEN	0.572	0.575	0.566	0
4	BUF @ DET	2	NE	0.065	BUF	DET	0.572	0.59	0.525	1
5	MIN @ GB	2	NE	0	MIN	GB	0.572	0.572	0.573	0
6	BAL @ IND	2	NE	0.003	BAL	IND	0.572	0.572	0.574	0
7	PIT @ JAC	2	NE	0.015	PIT	JAC	0.572	0.562	0.577	0
8	CIN @ NE	2	NE	0.175	CIN	NE	0.572	0.642	0.467	1
9	TB @ NO	2	NE	0.011	TB	NO	0.572	0.575	0.563	0
10	ATL @ NYG	2	NE	0.007	ATL	NYG	0.572	0.575	0.568	0
11	STL @ PHI	2	NE	0.011	STL	PHI	0.572	0.575	0.564	0
12	NYJ @ SD	2	NE	0.008	NYJ	SD	0.572	0.57	0.578	1
13	KC @ SF	2	NE	0.008	KC	SF	0.572	0.57	0.578	0
14	CLE @ TEN	2	NE	0.013	CLE	TEN	0.572	0.578	0.565	0
15	SEA @ WAS	2	NE	0.006	SEA	WAS	0.572	0.568	0.574	0
1	CHI @ CAR	3	MIA	0.009	CHI	CAR	0.223	0.219	0.228	0
2	HOU @ DAL	3	MIA	0.001	HOU	DAL	0.223	0.222	0.224	0
3	ARZ @ DEN	3	MIA	0.002	ARZ	DEN	0.223	0.223	0.222	0
4	BUF @ DET	3	MIA	0.032	BUF	DET	0.223	0.232	0.199	1
5	MIN @ GB	3	MIA	0.005	MIN	GB	0.223	0.222	0.227	0
6	BAL @ IND	3	MIA	0.01	BAL	IND	0.223	0.227	0.217	0
7	PIT @ JAC	3	MIA	0.013	PIT	JAC	0.223	0.232	0.219	0
8	CIN @ NE	3	MIA	0.043	CIN	NE	0.223	0.206	0.249	1
9	TB @ NO	3	MIA	0.01	TB	NO	0.223	0.221	0.232	0
10	ATL @ NYG	3	MIA	0.005	ATL	NYG	0.223	0.225	0.22	0
11	STL @ PHI	3	MIA	0.006	STL	PHI	0.223	0.221	0.228	0
12	NYJ @ SD	3	MIA	0.006	NYJ	SD	0.223	0.225	0.218	1
13	KC @ SF	3	MIA	0.021	KC	SF	0.223	0.229	0.208	0
14	CLE @ TEN	3	MIA	0.015	CLE	TEN	0.223	0.217	0.231	0
15	SEA @ WAS	3	MIA	0.022	SEA	WAS	0.223	0.239	0.217	0
1	CHI @ CAR	4	NYJ	0.001	CHI	CAR	0.057	0.057	0.056	0
2	HOU @ DAL	4	NYJ	0.003	HOU	DAL	0.057	0.058	0.055	0
3	ARZ @ DEN	4	NYJ	0.005	ARZ	DEN	0.057	0.055	0.061	0
4	BUF @ DET	4	NYJ	0.015	BUF	DET	0.057	0.061	0.046	1
5	MIN @ GB	4	NYJ	0.006	MIN	GB	0.057	0.056	0.061	0
6	BAL @ IND	4	NYJ	0.002	BAL	IND	0.057	0.058	0.055	1
7	PIT @ JAC	4	NYJ	0.001	PIT	JAC	0.057	0.058	0.056	0
8	CIN @ NE	4	NYJ	0.016	CIN	NE	0.057	0.05	0.066	1
9	TB @ NO	4	NYJ	0.004	TB	NO	0.057	0.056	0.06	0
10	ATL @ NYG	4	NYJ	0.001	ATL	NYG	0.057	0.056	0.057	0
11	STL @ PHI	4	NYJ	0.004	STL	PHI	0.057	0.056	0.06	0
12	NYJ @ SD	4	NYJ	0.06	NYJ	SD	0.057	0.041	0.101	1
13	KC @ SF	4	NYJ	0.007	KC	SF	0.057	0.058	0.052	0
14	CLE @ TEN	4	NYJ	0.003	CLE	TEN	0.057	0.058	0.055	0
15	SEA @ WAS	4	NYJ	0.001	SEA	WAS	0.057	0.057	0.056	0
1	CHI @ CAR	5	CIN	0.011	CHI	CAR	0.863	0.859	0.87	0
2	HOU @ DAL	5	CIN	0	HOU	DAL	0.863	0.863	0.864	1
3	ARZ @ DEN	5	CIN	0.018	ARZ	DEN	0.863	0.859	0.876	0
4	BUF @ DET	5	CIN	0	BUF	DET	0.863	0.863	0.863	0
5	MIN @ GB	5	CIN	0.002	MIN	GB	0.863	0.863	0.865	0
6	BAL @ IND	5	CIN	0	BAL	IND	0.863	0.864	0.863	0
7	PIT @ JAC	5	CIN	0.003	PIT	JAC	0.863	0.861	0.864	1
8	CIN @ NE	5	CIN	0.115	CIN	NE	0.863	0.818	0.932	1
9	TB @ NO	5	CIN	0.003	TB	NO	0.863	0.863	0.866	0
10	ATL @ NYG	5	CIN	0.003	ATL	NYG	0.863	0.864	0.862	0
11	STL @ PHI	5	CIN	0.005	STL	PHI	0.863	0.865	0.86	0
12	NYJ @ SD	5	CIN	0.018	NYJ	SD	0.863	0.859	0.876	1
13	KC @ SF	5	CIN	0.009	KC	SF	0.863	0.866	0.857	0
14	CLE @ TEN	5	CIN	0.008	CLE	TEN	0.863	0.867	0.859	0
15	SEA @ WAS	5	CIN	0.003	SEA	WAS	0.863	0.865	0.863	0
1	CHI @ CAR	6	BAL	0.001	CHI	CAR	0.717	0.717	0.717	0
2	HOU @ DAL	6	BAL	0.015	HOU	DAL	0.717	0.723	0.708	1
3	ARZ @ DEN	6	BAL	0.012	ARZ	DEN	0.717	0.714	0.726	1
4	BUF @ DET	6	BAL	0.011	BUF	DET	0.717	0.72	0.709	1
5	MIN @ GB	6	BAL	0.008	MIN	GB	0.717	0.719	0.711	0
6	BAL @ IND	6	BAL	0.198	BAL	IND	0.717	0.642	0.84	1
7	PIT @ JAC	6	BAL	0.017	PIT	JAC	0.717	0.729	0.712	1
8	CIN @ NE	6	BAL	0.004	CIN	NE	0.717	0.716	0.719	0
9	TB @ NO	6	BAL	0.013	TB	NO	0.717	0.715	0.728	0
10	ATL @ NYG	6	BAL	0.006	ATL	NYG	0.717	0.719	0.713	0
11	STL @ PHI	6	BAL	0.006	STL	PHI	0.717	0.719	0.713	0
12	NYJ @ SD	6	BAL	0.004	NYJ	SD	0.717	0.716	0.72	1
13	KC @ SF	6	BAL	0.019	KC	SF	0.717	0.722	0.704	1
14	CLE @ TEN	6	BAL	0.001	CLE	TEN	0.717	0.717	0.718	0
15	SEA @ WAS	6	BAL	0.004	SEA	WAS	0.717	0.72	0.716	0
1	CHI @ CAR	7	PIT	0.008	CHI	CAR	0.123	0.12	0.128	0
2	HOU @ DAL	7	PIT	0.013	HOU	DAL	0.123	0.128	0.115	1
3	ARZ @ DEN	7	PIT	0.003	ARZ	DEN	0.123	0.122	0.125	0
4	BUF @ DET	7	PIT	0.012	BUF	DET	0.123	0.12	0.132	0
5	MIN @ GB	7	PIT	0.001	MIN	GB	0.123	0.123	0.123	0
6	BAL @ IND	7	PIT	0.009	BAL	IND	0.123	0.127	0.117	1
7	PIT @ JAC	7	PIT	0.076	PIT	JAC	0.123	0.068	0.145	1
8	CIN @ NE	7	PIT	0.006	CIN	NE	0.123	0.126	0.119	0
9	TB @ NO	7	PIT	0.016	TB	NO	0.123	0.12	0.136	0
10	ATL @ NYG	7	PIT	0.006	ATL	NYG	0.123	0.121	0.127	0
11	STL @ PHI	7	PIT	0.005	STL	PHI	0.123	0.125	0.119	0
12	NYJ @ SD	7	PIT	0.024	NYJ	SD	0.123	0.117	0.141	1
13	KC @ SF	7	PIT	0.009	KC	SF	0.123	0.125	0.117	1
14	CLE @ TEN	7	PIT	0.006	CLE	TEN	0.123	0.126	0.12	0
15	SEA @ WAS	7	PIT	0.007	SEA	WAS	0.123	0.128	0.121	0
1	CHI @ CAR	8	CLE	0.008	CHI	CAR	0.058	0.061	0.053	0
2	HOU @ DAL	8	CLE	0.012	HOU	DAL	0.058	0.063	0.05	1
3	ARZ @ DEN	8	CLE	0.006	ARZ	DEN	0.058	0.056	0.063	0
4	BUF @ DET	8	CLE	0.003	BUF	DET	0.058	0.059	0.056	0
5	MIN @ GB	8	CLE	0.002	MIN	GB	0.058	0.058	0.057	0
6	BAL @ IND	8	CLE	0.002	BAL	IND	0.058	0.059	0.057	0
7	PIT @ JAC	8	CLE	0.001	PIT	JAC	0.058	0.059	0.058	1
8	CIN @ NE	8	CLE	0.005	CIN	NE	0.058	0.06	0.055	0
9	TB @ NO	8	CLE	0.008	TB	NO	0.058	0.059	0.052	0
10	ATL @ NYG	8	CLE	0.001	ATL	NYG	0.058	0.058	0.059	0
11	STL @ PHI	8	CLE	0.007	STL	PHI	0.058	0.056	0.063	0
12	NYJ @ SD	8	CLE	0.015	NYJ	SD	0.058	0.054	0.069	1
13	KC @ SF	8	CLE	0.002	KC	SF	0.058	0.059	0.056	1
14	CLE @ TEN	8	CLE	0.062	CLE	TEN	0.058	0.032	0.094	1
15	SEA @ WAS	8	CLE	0.002	SEA	WAS	0.058	0.059	0.058	0
1	CHI @ CAR	9	SD	0.005	CHI	CAR	0.615	0.617	0.613	0
2	HOU @ DAL	9	SD	0.015	HOU	DAL	0.615	0.621	0.606	1
3	ARZ @ DEN	9	SD	0.012	ARZ	DEN	0.615	0.612	0.624	1
4	BUF @ DET	9	SD	0.004	BUF	DET	0.615	0.614	0.619	0
5	MIN @ GB	9	SD	0.002	MIN	GB	0.615	0.616	0.614	0
6	BAL @ IND	9	SD	0.025	BAL	IND	0.615	0.606	0.631	0
7	PIT @ JAC	9	SD	0.015	PIT	JAC	0.615	0.626	0.611	1
8	CIN @ NE	9	SD	0.027	CIN	NE	0.615	0.626	0.599	0
9	TB @ NO	9	SD	0.001	TB	NO	0.615	0.615	0.616	0
10	ATL @ NYG	9	SD	0.001	ATL	NYG	0.615	0.615	0.616	0
11	STL @ PHI	9	SD	0.019	STL	PHI	0.615	0.62	0.602	0
