row_idx,row_name,col_idx,col_name,away,home,initial_chances,if_away,if_home,diff,sig
1,NYJ @ NE,1,NE,NYJ,NE,0.79186,0.6389832,0.8315572,0.192574,1
1,NYJ @ NE,2,BUF,NYJ,NE,0.14234,0.1921025,0.1294183,0.0626842,1
1,NYJ @ NE,3,MIA,NYJ,NE,0.15932,0.2073348,0.1468521,0.0604827,1
1,NYJ @ NE,4,NYJ,NYJ,NE,0.01084,0.03764432,0.003879777,0.033764543,1
1,NYJ @ NE,5,CIN,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,6,BAL,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,7,CLE,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,8,PIT,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,9,SD,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,10,DEN,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,11,KC,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,12,OAK,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,13,IND,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,14,HOU,NYJ,NE,0.18562,0.1956922,0.1830046,0.0126876,1
1,NYJ @ NE,15,TEN,NYJ,NE,0,0,0,0,0
1,NYJ @ NE,16,JAC,NYJ,NE,0,0,0,0,0
2,CIN @ IND,1,NE,CIN,IND,0,0,0,0,0
2,CIN @ IND,2,BUF,CIN,IND,0.14234,0.1368251,0.1459554,0.0091303,1
2,CIN @ IND,3,MIA,CIN,IND,0,0,0,0,0
2,CIN @ IND,4,NYJ,CIN,IND,0,0,0,0,0
2,CIN @ IND,5,CIN,CIN,IND,0.7053,0.8176676,0.6316347,0.1860329,1
2,CIN @ IND,6,BAL,CIN,IND,0.77808,0.7584221,0.7909672,0.0325451,1
2,CIN @ IND,7,CLE,CIN,IND,0.20768,0.1856659,0.2221119,0.036446,1
2,CIN @ IND,8,PIT,CIN,IND,0.13076,0.1174807,0.1394656,0.0219849,1
2,CIN @ IND,9,SD,CIN,IND,0.7872,0.7761503,0.7944439,0.0182936,1
2,CIN @ IND,10,DEN,CIN,IND,0.95938,0.9563109,0.961392,0.0050811,1
2,CIN @ IND,11,KC,CIN,IND,0.18512,0.1731906,0.1929406,0.01975,1
2,CIN @ IND,12,OAK,CIN,IND,0,0,0,0,0
2,CIN @ IND,13,IND,CIN,IND,0.94232,0.9050457,0.9667561,0.0617104,1
2,CIN @ IND,14,HOU,CIN,IND,0.18562,0.1958685,0.1789014,0.0169671,1
2,CIN @ IND,15,TEN,CIN,IND,0.01418,0.01702106,0.01231747,0.00470359,1
2,CIN @ IND,16,JAC,CIN,IND,0,0,0,0,0
3,TEN @ WAS,1,NE,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,2,BUF,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,3,MIA,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,4,NYJ,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,5,CIN,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,6,BAL,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,7,CLE,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,8,PIT,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,9,SD,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,10,DEN,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,11,KC,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,12,OAK,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,13,IND,TEN,WAS,0.94232,0.9386333,0.9444096,0.0057763,1
3,TEN @ WAS,14,HOU,TEN,WAS,0,0,0,0,0
3,TEN @ WAS,15,TEN,TEN,WAS,0.01418,0.02620522,0.007364001,0.018841219,1
3,TEN @ WAS,16,JAC,TEN,WAS,0,0,0,0,0
4,MIA @ CHI,1,NE,MIA,CHI,0.79186,0.7615253,0.8117916,0.0502663,1
4,MIA @ CHI,2,BUF,MIA,CHI,0.14234,0.1333098,0.1482733,0.0149635,1
4,MIA @ CHI,3,MIA,MIA,CHI,0.15932,0.2339857,0.1102605,0.1237252,1
4,MIA @ CHI,4,NYJ,MIA,CHI,0.01084,0.009179865,0.0119308,0.002750935,1
4,MIA @ CHI,5,CIN,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,6,BAL,MIA,CHI,0.77808,0.7683849,0.7844502,0.0160653,1
4,MIA @ CHI,7,CLE,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,8,PIT,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,9,SD,MIA,CHI,0.7872,0.7766569,0.7941274,0.0174705,1
4,MIA @ CHI,10,DEN,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,11,KC,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,12,OAK,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,13,IND,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,14,HOU,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,15,TEN,MIA,CHI,0,0,0,0,0
4,MIA @ CHI,16,JAC,MIA,CHI,0,0,0,0,0
5,CLE @ JAC,1,NE,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,2,BUF,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,3,MIA,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,4,NYJ,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,5,CIN,CLE,JAC,0.7053,0.6934973,0.7279035,0.0344062,1
5,CLE @ JAC,6,BAL,CLE,JAC,0.77808,0.7716756,0.7903451,0.0186695,1
5,CLE @ JAC,7,CLE,CLE,JAC,0.20768,0.25618,0.1147971,0.1413829,1
5,CLE @ JAC,8,PIT,CLE,JAC,0.13076,0.1262482,0.1394007,0.0131525,1
5,CLE @ JAC,9,SD,CLE,JAC,0.7872,0.7806564,0.7997318,0.0190754,1
5,CLE @ JAC,10,DEN,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,11,KC,CLE,JAC,0.18512,0.1780321,0.198694,0.0206619,1
5,CLE @ JAC,12,OAK,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,13,IND,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,14,HOU,CLE,JAC,0.18562,0.1814722,0.1935634,0.0120912,1
5,CLE @ JAC,15,TEN,CLE,JAC,0,0,0,0,0
5,CLE @ JAC,16,JAC,CLE,JAC,0,0,0,0,0
6,CAR @ GB,1,NE,CAR,GB,0,0,0,0,0
6,CAR @ GB,2,BUF,CAR,GB,0,0,0,0,0
6,CAR @ GB,3,MIA,CAR,GB,0,0,0,0,0
6,CAR @ GB,4,NYJ,CAR,GB,0,0,0,0,0
6,CAR @ GB,5,CIN,CAR,GB,0.7053,0.7150542,0.7017343,0.0133199,1
6,CAR @ GB,6,BAL,CAR,GB,0,0,0,0,0
6,CAR @ GB,7,CLE,CAR,GB,0,0,0,0,0
6,CAR @ GB,8,PIT,CAR,GB,0,0,0,0,0
6,CAR @ GB,9,SD,CAR,GB,0,0,0,0,0
6,CAR @ GB,10,DEN,CAR,GB,0,0,0,0,0
6,CAR @ GB,11,KC,CAR,GB,0,0,0,0,0
6,CAR @ GB,12,OAK,CAR,GB,0,0,0,0,0
6,CAR @ GB,13,IND,CAR,GB,0,0,0,0,0
6,CAR @ GB,14,HOU,CAR,GB,0,0,0,0,0
6,CAR @ GB,15,TEN,CAR,GB,0,0,0,0,0
6,CAR @ GB,16,JAC,CAR,GB,0,0,0,0,0
7,ATL @ BAL,1,NE,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,2,BUF,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,3,MIA,ATL,BAL,0.15932,0.1702352,0.1553789,0.0148563,1
7,ATL @ BAL,4,NYJ,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,5,CIN,ATL,BAL,0.7053,0.7305489,0.6961836,0.0343653,1
7,ATL @ BAL,6,BAL,ATL,BAL,0.77808,0.6555338,0.8223269,0.1667931,1
7,ATL @ BAL,7,CLE,ATL,BAL,0.20768,0.2265531,0.2008656,0.0256875,1
7,ATL @ BAL,8,PIT,ATL,BAL,0.13076,0.1455066,0.1254355,0.0200711,1
7,ATL @ BAL,9,SD,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,10,DEN,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,11,KC,ATL,BAL,0.18512,0.2005428,0.1795514,0.0209914,1
7,ATL @ BAL,12,OAK,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,13,IND,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,14,HOU,ATL,BAL,0.18562,0.2021261,0.1796603,0.0224658,1
7,ATL @ BAL,15,TEN,ATL,BAL,0,0,0,0,0
7,ATL @ BAL,16,JAC,ATL,BAL,0,0,0,0,0
8,MIN @ BUF,1,NE,MIN,BUF,0.79186,0.814319,0.7792224,0.0350966,1
8,MIN @ BUF,2,BUF,MIN,BUF,0.14234,0.08053766,0.1771159,0.09657824,1
8,MIN @ BUF,3,MIA,MIN,BUF,0.15932,0.1697956,0.1534254,0.0163702,1
8,MIN @ BUF,4,NYJ,MIN,BUF,0.01084,0.01305265,0.009594949,0.003457701,1
8,MIN @ BUF,5,CIN,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,6,BAL,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,7,CLE,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,8,PIT,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,9,SD,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,10,DEN,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,11,KC,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,12,OAK,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,13,IND,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,14,HOU,MIN,BUF,0,0,0,0,0
8,MIN @ BUF,15,TEN,MIN,BUF,0.01418,0.01610753,0.01309539,0.00301214,1
8,MIN @ BUF,16,JAC,MIN,BUF,0,0,0,0,0
9,KC @ SD,1,NE,KC,SD,0,0,0,0,0
9,KC @ SD,2,BUF,KC,SD,0,0,0,0,0
9,KC @ SD,3,MIA,KC,SD,0,0,0,0,0
9,KC @ SD,4,NYJ,KC,SD,0,0,0,0,0
9,KC @ SD,5,CIN,KC,SD,0,0,0,0,0
9,KC @ SD,6,BAL,KC,SD,0,0,0,0,0
9,KC @ SD,7,CLE,KC,SD,0,0,0,0,0
9,KC @ SD,8,PIT,KC,SD,0.13076,0.1409808,0.1261869,0.0147939,1
9,KC @ SD,9,SD,KC,SD,0.7872,0.6168478,0.8634206,0.2465728,1
9,KC @ SD,10,DEN,KC,SD,0,0,0,0,0
9,KC @ SD,11,KC,KC,SD,0.18512,0.3374741,0.1169523,0.2205218,1
9,KC @ SD,12,OAK,KC,SD,0,0,0,0,0
9,KC @ SD,13,IND,KC,SD,0,0,0,0,0
9,KC @ SD,14,HOU,KC,SD,0.18562,0.1930642,0.1822893,0.0107749,1
9,KC @ SD,15,TEN,KC,SD,0,0,0,0,0
9,KC @ SD,16,JAC,KC,SD,0,0,0,0,0
10,SF @ DEN,1,NE,SF,DEN,0,0,0,0,0
10,SF @ DEN,2,BUF,SF,DEN,0,0,0,0,0
10,SF @ DEN,3,MIA,SF,DEN,0,0,0,0,0
10,SF @ DEN,4,NYJ,SF,DEN,0,0,0,0,0
10,SF @ DEN,5,CIN,SF,DEN,0,0,0,0,0
