row_idx	row_name	col_idx	col_name	diff	away	home	initial_chances	if_home	if_away	sig
1	HOU @ DAL	1	BUF	0.01	HOU	DAL	0.258	0.254	0.265	0
1	HOU @ DAL	2	NE	0.011	HOU	DAL	0.572	0.577	0.565	0
1	HOU @ DAL	3	MIA	0.001	HOU	DAL	0.223	0.222	0.224	0
1	HOU @ DAL	4	NYJ	0.003	HOU	DAL	0.057	0.058	0.055	0
1	HOU @ DAL	5	CIN	0	HOU	DAL	0.863	0.863	0.864	1
1	HOU @ DAL	6	BAL	0.015	HOU	DAL	0.717	0.723	0.708	1
1	HOU @ DAL	7	PIT	0.013	HOU	DAL	0.123	0.128	0.115	1
1	HOU @ DAL	8	CLE	0.012	HOU	DAL	0.058	0.063	0.05	1
1	HOU @ DAL	9	SD	0.015	HOU	DAL	0.615	0.621	0.606	1
1	HOU @ DAL	10	DEN	0.006	HOU	DAL	0.932	0.935	0.929	0
1	HOU @ DAL	11	KC	0.02	HOU	DAL	0.241	0.249	0.229	1
1	HOU @ DAL	12	OAK	0	HOU	DAL	0	0	0	0
1	HOU @ DAL	13	IND	0.068	HOU	DAL	0.687	0.713	0.645	1
1	HOU @ DAL	14	HOU	0.172	HOU	DAL	0.583	0.517	0.689	1
1	HOU @ DAL	15	TEN	0.02	HOU	DAL	0.069	0.076	0.056	1
1	HOU @ DAL	16	JAC	0	HOU	DAL	0	0	0	0
2	ARZ @ DEN	1	BUF	0.006	ARZ	DEN	0.258	0.257	0.263	0
2	ARZ @ DEN	2	NE	0.008	ARZ	DEN	0.572	0.575	0.566	0
2	ARZ @ DEN	3	MIA	0.002	ARZ	DEN	0.223	0.223	0.222	0
2	ARZ @ DEN	4	NYJ	0.005	ARZ	DEN	0.057	0.055	0.061	0
2	ARZ @ DEN	5	CIN	0.018	ARZ	DEN	0.863	0.859	0.876	0
2	ARZ @ DEN	6	BAL	0.012	ARZ	DEN	0.717	0.714	0.726	1
2	ARZ @ DEN	7	PIT	0.003	ARZ	DEN	0.123	0.122	0.125	0
2	ARZ @ DEN	8	CLE	0.006	ARZ	DEN	0.058	0.056	0.063	0
2	ARZ @ DEN	9	SD	0.012	ARZ	DEN	0.615	0.612	0.624	1
2	ARZ @ DEN	10	DEN	0.069	ARZ	DEN	0.932	0.951	0.882	1
2	ARZ @ DEN	11	KC	0.012	ARZ	DEN	0.241	0.238	0.25	1
2	ARZ @ DEN	12	OAK	0	ARZ	DEN	0	0	0	0
2	ARZ @ DEN	13	IND	0.008	ARZ	DEN	0.687	0.69	0.681	0
2	ARZ @ DEN	14	HOU	0.003	ARZ	DEN	0.583	0.582	0.585	0
2	ARZ @ DEN	15	TEN	0.009	ARZ	DEN	0.069	0.066	0.076	0
2	ARZ @ DEN	16	JAC	0	ARZ	DEN	0	0	0	0
3	BUF @ DET	1	BUF	0.149	BUF	DET	0.258	0.218	0.367	1
3	BUF @ DET	2	NE	0.065	BUF	DET	0.572	0.59	0.525	1
3	BUF @ DET	3	MIA	0.032	BUF	DET	0.223	0.232	0.199	1
3	BUF @ DET	4	NYJ	0.015	BUF	DET	0.057	0.061	0.046	1
3	BUF @ DET	5	CIN	0	BUF	DET	0.863	0.863	0.863	0
3	BUF @ DET	6	BAL	0.011	BUF	DET	0.717	0.72	0.709	1
3	BUF @ DET	7	PIT	0.012	BUF	DET	0.123	0.12	0.132	0
3	BUF @ DET	8	CLE	0.003	BUF	DET	0.058	0.059	0.056	0
3	BUF @ DET	9	SD	0.004	BUF	DET	0.615	0.614	0.619	0
3	BUF @ DET	10	DEN	0.007	BUF	DET	0.932	0.935	0.927	0
3	BUF @ DET	11	KC	0.014	BUF	DET	0.241	0.245	0.231	0
3	BUF @ DET	12	OAK	0	BUF	DET	0	0	0	0
3	BUF @ DET	13	IND	0.001	BUF	DET	0.687	0.687	0.688	0
3	BUF @ DET	14	HOU	0.013	BUF	DET	0.583	0.587	0.573	0
3	BUF @ DET	15	TEN	0.006	BUF	DET	0.069	0.07	0.064	0
3	BUF @ DET	16	JAC	0	BUF	DET	0	0	0	0
4	BAL @ IND	1	BUF	0.006	BAL	IND	0.258	0.26	0.255	0
4	BAL @ IND	2	NE	0.003	BAL	IND	0.572	0.572	0.574	0
4	BAL @ IND	3	MIA	0.01	BAL	IND	0.223	0.227	0.217	0
4	BAL @ IND	4	NYJ	0.002	BAL	IND	0.057	0.058	0.055	1
4	BAL @ IND	5	CIN	0	BAL	IND	0.863	0.864	0.863	0
4	BAL @ IND	6	BAL	0.198	BAL	IND	0.717	0.642	0.84	1
4	BAL @ IND	7	PIT	0.009	BAL	IND	0.123	0.127	0.117	1
4	BAL @ IND	8	CLE	0.002	BAL	IND	0.058	0.059	0.057	0
4	BAL @ IND	9	SD	0.025	BAL	IND	0.615	0.606	0.631	0
4	BAL @ IND	10	DEN	0.002	BAL	IND	0.932	0.933	0.931	0
4	BAL @ IND	11	KC	0.013	BAL	IND	0.241	0.246	0.233	1
4	BAL @ IND	12	OAK	0	BAL	IND	0	0	0	0
4	BAL @ IND	13	IND	0.23	BAL	IND	0.687	0.775	0.544	1
4	BAL @ IND	14	HOU	0.037	BAL	IND	0.583	0.569	0.606	1
4	BAL @ IND	15	TEN	0.011	BAL	IND	0.069	0.065	0.075	0
4	BAL @ IND	16	JAC	0	BAL	IND	0	0	0	0
5	PIT @ JAC	1	BUF	0.021	PIT	JAC	0.258	0.273	0.252	0
5	PIT @ JAC	2	NE	0.015	PIT	JAC	0.572	0.562	0.577	0
5	PIT @ JAC	3	MIA	0.013	PIT	JAC	0.223	0.232	0.219	0
5	PIT @ JAC	4	NYJ	0.001	PIT	JAC	0.057	0.058	0.056	0
5	PIT @ JAC	5	CIN	0.003	PIT	JAC	0.863	0.861	0.864	1
5	PIT @ JAC	6	BAL	0.017	PIT	JAC	0.717	0.729	0.712	1
5	PIT @ JAC	7	PIT	0.076	PIT	JAC	0.123	0.068	0.145	1
5	PIT @ JAC	8	CLE	0.001	PIT	JAC	0.058	0.059	0.058	1
5	PIT @ JAC	9	SD	0.015	PIT	JAC	0.615	0.626	0.611	1
5	PIT @ JAC	10	DEN	0	PIT	JAC	0.932	0.932	0.933	1
5	PIT @ JAC	11	KC	0.021	PIT	JAC	0.241	0.256	0.235	1
5	PIT @ JAC	12	OAK	0	PIT	JAC	0	0	0	0
5	PIT @ JAC	13	IND	0.001	PIT	JAC	0.687	0.688	0.687	0
5	PIT @ JAC	14	HOU	0.005	PIT	JAC	0.583	0.587	0.581	1
5	PIT @ JAC	15	TEN	0.001	PIT	JAC	0.069	0.068	0.069	0
5	PIT @ JAC	16	JAC	0	PIT	JAC	0	0	0	1
6	CIN @ NE	1	BUF	0.062	CIN	NE	0.258	0.234	0.295	1
6	CIN @ NE	2	NE	0.175	CIN	NE	0.572	0.642	0.467	1
6	CIN @ NE	3	MIA	0.043	CIN	NE	0.223	0.206	0.249	1
6	CIN @ NE	4	NYJ	0.016	CIN	NE	0.057	0.05	0.066	1
6	CIN @ NE	5	CIN	0.115	CIN	NE	0.863	0.818	0.932	1
6	CIN @ NE	6	BAL	0.004	CIN	NE	0.717	0.716	0.719	0
6	CIN @ NE	7	PIT	0.006	CIN	NE	0.123	0.126	0.119	0
